Giraffe Id	Sex	Birth Date	Sire	Dam	Birth Location	Local Id	Name	Subspecies	Current Zoo	City	State	Event
171	F	1951-01-01	WILD	WILD	E.AFRICA	NONE	PAMELA	ret/roth	NULL	NULL	NULL	Capture
172	M	1951-01-01	WILD	WILD	E.AFRICA	NONE	JACK 3	ret/roth	NULL	NULL	NULL	Capture
173	F	1951-01-01	WILD	WILD	E.AFRICA	NONE	F1 SUSIE	ret/roth	NULL	NULL	NULL	Capture
174	F	1951-01-01	WILD	WILD	E.AFRICA	NONE	PET	ret/roth	NULL	NULL	NULL	Capture
205	F	1953-01-01	WILD	WILD	E.AFRICA	NONE	BONNIE	ret/roth	NULL	NULL	NULL	Capture
206	M	1953-01-01	WILD	WILD	E.AFRICA	NONE	SHORTY	tippelskirchi	NULL	NULL	NULL	Capture
207	M	1954-01-01	WILD	WILD	E.AFRICA	NONE	ANDY	reticulata	NULL	NULL	NULL	Capture
208	M	1953-01-01	WILD	WILD	E.AFRICA	NONE	SOCRATES	ret/roth	NULL	NULL	NULL	Capture
221	M	1954-01-01	WILD	WILD	E.AFRICA	NONE	ZEKE/JEEP	ret/roth	NULL	NULL	NULL	Capture
238	M	1955-01-01	WILD	WILD	KENYA	NONE	OCTAVIUS	ret/roth	NULL	NULL	NULL	Capture
299	F	1959-01-01	WILD	WILD	E.AFRICA	NONE	SUGAR	ret/roth	NULL	NULL	NULL	Capture
325	F	1960-04-01	208	173	COLO SPRG	100473	APRIL	ret/roth	NULL	NULL	NULL	Birth
334	F	1960-08-21	172	171	CHICAGOBR	21059	DAWN	ret/roth	NULL	NULL	NULL	Birth
370	F	1963-01-01	WILD	WILD	KENYA	NONE	PATTY	ret/roth	NULL	NULL	NULL	Capture
407	M	1964-01-01	WILD	WILD	KENYA	NONE	JIGGS	ret/roth	NULL	NULL	NULL	Capture
408	F	1964-01-01	WILD	WILD	KENYA	NONE	LIZ I	ret/roth	NULL	NULL	NULL	Capture
425	F	1964-02-01	208	173	COLO SPRG	100483	MAGGIE I	ret/roth	NULL	NULL	NULL	Birth
429	F	1964-06-18	206	299	SACRAMNTO	100167	SUGAR BABY	hybrid	NULL	NULL	NULL	Birth
438	M	1965-01-01	WILD	WILD	KENYA	NONE	CAMELO	ret/roth	NULL	NULL	NULL	Capture
442	F	1965-01-01	WILD	WILD	KENYA	NONE	JANE	ret/roth	NULL	NULL	NULL	Capture
471	M	1965-11-30	207	205	DALLAS	000F87	LUCKY/SHORTY	ret/roth	NULL	NULL	NULL	Birth
474	F	1966-01-01	WILD	WILD	E.AFRICA	NONE	BESS	reticulata	NULL	NULL	NULL	Capture
480	F	1966-01-01	WILD	WILD	E.AFRICA	NONE	MOMBASSA	ret/roth	NULL	NULL	NULL	Capture
484	M	1966-01-01	WILD	WILD	KENYA	NONE	SIMON/LYNDON	ret/roth	NULL	NULL	NULL	Capture
485	F	1966-01-01	WILD	WILD	KENYA	NONE	LADY	ret/roth	NULL	NULL	NULL	Capture
487	M	1966-01-01	WILD	WILD	E.AFRICA	NONE	KENYA	ret/roth	NULL	NULL	NULL	Capture
510	F	1966-09-14	172	334	CHICAGOBR	21060	SANDRA	ret/roth	NULL	NULL	NULL	Birth
557	F	1968-01-01	WILD	WILD	KENYA	NONE	FLO	ret/roth	NULL	NULL	NULL	Capture
560	M	1968-01-01	WILD	WILD	KENYA	NONE	TOM DOOLEY	ret/roth	NULL	NULL	NULL	Capture
613	M	1969-05-11	438	325	COLO SPRG	100510	M19 LANKEY II	ret/roth	NULL	NULL	NULL	Birth
631	M	1970-01-01	WILD	WILD	KENYA	NONE	None	ret/roth	NULL	NULL	NULL	Capture
632	F	1970-01-01	WILD	WILD	KENYA	NONE	None	ret/roth	NULL	NULL	NULL	Capture
634	F	1970-01-01	WILD	WILD	NE KENYA	NONE	LIZ II	ret/roth	NULL	NULL	NULL	Capture
635	F	1970-01-01	WILD	WILD	NE KENYA	NONE	DOT	ret/roth	NULL	NULL	NULL	Capture
677	F	1970-12-12	407	408	DENVER	00610	JILL	ret/roth	NULL	NULL	NULL	Birth
706	M	1971-08-16	471	334	CHICAGOBR	22470	GERRY/BILL II	ret/roth	NULL	NULL	NULL	Birth
789	F	1973-06-23	407	557	DENVER	00613	BARB	ret/roth	NULL	NULL	NULL	Birth
792	F	1973-07-19	221	442	ST LOUIS	073446	GIGI	ret/roth	NULL	NULL	NULL	Birth
805	M	1973-09-24	238	370	COLUMBUS	732004	SEYMOUR	ret/roth	NULL	NULL	NULL	Birth
835	F	1974-07-06	407	634	DENVER	00614	JUDY/NAOMI	ret/roth	NULL	NULL	NULL	Birth
848	F	1974-09-21	560	299	SACRAMNTO	100170	TASHA	ret/roth	NULL	NULL	NULL	Birth
858	M	1975-01-01	560	429	SACRAMNTO	100171	BRUTUS	hybrid	NULL	NULL	NULL	Birth
928	M	1976-02-14	487	480	OAKLAND	13	IGASI	ret/roth	NULL	NULL	NULL	Birth
987	M	1977-03-11	706	635	DENVER	02294	STORMY/JAMIE	ret/roth	NULL	NULL	NULL	Birth
1032	F	1978-01-02	484	485	CRANDONPK	123	COLLEEN	ret/roth	NULL	NULL	NULL	Birth
1041	F	1978-04-04	706	677	DENVER	02975	SUSIE I/SUZI	ret/roth	NULL	NULL	NULL	Birth
1109	F	1979-05-23	858	848	SACRAMNTO	100293	DINAH	hybrid	NULL	NULL	NULL	Birth
1124	M	1979-01-01	UNK	UNK	WILMOTH	______	JUBA*	ret/roth	NULL	NULL	NULL	Transfer
1183	M	1980-07-09	706	789	DENVER	04830	MILE-HI/D-ENVER BULL	ret/roth	NULL	NULL	NULL	Birth
1208	F	1980-10-22	706	557	DENVER	05183	DEBBI II	ret/roth	NULL	NULL	NULL	Birth
1218	f	1981-01-09	438	425	COLO SPRG	101266	BECKY	ret/roth	NULL	Colorado Springs	Colorado	Birth
1236	M	1981-05-17	805	835	KNOXVILLE	541	ISHMAEL/TWIGA	ret/roth	NULL	NULL	NULL	Birth
1274	M	1982-01-01	WILD	WILD	KENYA	NONE	LAIKIPIA*	ret/roth	NULL	NULL	NULL	Capture
1310	M	1982-07-30	631	632	BIRMINGHM	1000	LUKORO	ret/roth	NULL	NULL	NULL	Birth
1321	M	1982-09-15	438	174	COLO SPRG	101433	JAMBO*	ret/roth	NULL	NULL	NULL	Birth
